input_r,input_g,input_b,out1_r,out1_g,out1_b,out2_r,out2_g,out2_b,out3_r,out3_g,out3_b
0.9441102,0.3567539,0.7500847,1.0,0.4956366,0.9015873,0.89255065,0.28354466,0.58820844,0.84709746,0.65043205,0.5534193
0.91225207,0.07923984,0.89750445,1.0,0.20129712,0.99549145,0.7159416,0.0,0.8326185,0.90487826,0.49574596,0.48837215
0.33883604,0.032744605,0.8805897,0.53139275,0.10990719,1.0,0.2672746,0.0,0.77408963,0.6097129,0.18579033,0.45666716
0.8278598,0.7215648,0.81957906,1.0,0.893853,0.96344715,0.66597074,0.5433379,0.68498594,0.82371944,0.7747123,0.77057195
0.1220762,0.43807673,0.0716479,0.17984731,0.5860242,0.23081945,0.0,0.3628812,0.0,0.09686205,0.28007647,0.2548623
0.7918662,0.62505955,0.97938025,0.92379725,0.75431395,1.0,0.6683353,0.5427772,0.8546453,0.8856232,0.70846283,0.80221987
0.8319398,0.8333291,0.8134617,1.0,0.9539715,0.9086777,0.63918287,0.66330224,0.6949209,0.82270074,0.83263445,0.8233954
0.1281772,0.075247645,0.110294245,0.22466688,0.14149372,0.21872361,0.0,0.0,0.0,0.119235724,0.10171242,0.09277095
0.28750542,0.8062756,0.7038692,0.41786528,1.0,0.810421,0.1785976,0.732186,0.61061174,0.4956873,0.5468905,0.7550724
0.29740316,0.270939,0.0654512,0.41958165,0.43097997,0.24647413,0.20002055,0.08364567,0.0,0.18142717,0.28417107,0.1681951
0.13566534,0.9141761,0.94932055,0.25634676,1.0,1.0,0.0,0.7430804,0.7525504,0.5424929,0.5249207,0.93174833
0.66694546,0.23248237,0.5438073,0.79100585,0.4250214,0.7403662,0.5602343,0.11920869,0.4522106,0.60537636,0.44971392,0.38814485
0.08585699,0.0584103,0.32197675,0.15798636,0.22650631,0.4414011,0.0,0.0,0.25695875,0.20391688,0.072133645,0.19019353
0.17881076,0.78846747,0.10107368,0.2310095,0.89907277,0.16806935,0.06327747,0.5996239,0.0,0.13994223,0.48363912,0.44477057
0.914219,0.90734833,0.1762249,1.0,0.96152437,0.32290116,0.8051645,0.72719043,0.06567068,0.5452219,0.91078365,0.5417866
0.54581964,0.68384343,0.4681808,0.613651,0.77164066,0.608811,0.48514384,0.53764445,0.38183734,0.5070002,0.61483157,0.57601213
0.20751576,0.57094634,0.78610444,0.36296466,0.74346465,0.846041,0.053474743,0.4849466,0.72632694,0.4968101,0.38923106,0.6785254
0.34055677,0.12506692,0.93277836,0.5014292,0.28866976,1.0,0.16488567,0.0034196489,0.8070745,0.63666755,0.23281184,0.5289226
0.33176002,0.28570572,0.8620177,0.44662523,0.3949864,1.0,0.2772609,0.13228285,0.8002397,0.5968889,0.30873287,0.5738617
0.66939574,0.1444814,0.6901502,0.74853384,0.26192263,0.7893537,0.50092083,0.0,0.50085825,0.679773,0.40693858,0.4173158
0.50814474,0.6916513,0.66417074,0.6208298,0.8479133,0.8070032,0.42004886,0.49333766,0.5389042,0.58615774,0.59989804,0.67791104
0.10246653,0.33063695,0.33642298,0.2641185,0.42689013,0.44446516,0.0,0.16408403,0.27825108,0.21944475,0.21655175,0.33352998
0.464957,0.74096864,0.703759,0.62377954,0.8955207,0.8881386,0.3316506,0.6725807,0.5224817,0.58435804,0.60296285,0.7223638
0.016653625,0.58126146,0.7120174,0.07217669,0.715618,0.7999789,0.0,0.49082458,0.6512081,0.36433554,0.29895756,0.64663947
0.15214016,0.5732732,0.966988,0.27215403,0.76123726,1.0,0.0025841284,0.4097587,0.8419309,0.55956405,0.36270666,0.7701306
0.9754393,0.6823483,0.6506048,1.0,0.74687374,0.7091442,0.8983695,0.52816665,0.5723318,0.813022,0.82889384,0.66647655
0.24090104,0.6941455,0.6320937,0.42919835,0.7481822,0.7624209,0.045764785,0.54782224,0.49020958,0.4364974,0.46752328,0.6631196
0.5135005,0.7949098,0.079542905,0.6205495,0.90771323,0.20730236,0.353447,0.7136643,0.0,0.29652172,0.65420514,0.43722636
0.30321255,0.8405033,0.72327244,0.49314895,0.909708,0.79752415,0.12497239,0.6998885,0.6121614,0.5132425,0.57185787,0.7818878
0.44601116,0.8317883,0.9014444,0.5655187,0.93048936,1.0,0.39059126,0.7257505,0.84052354,0.67372775,0.63889974,0.8666163
